OPCODE|HEX|STEP|OPERATION
LDA_ABS|AD|1|MEM_AT_PC > MC
LDA_ABS|AD|2|MEM_AT_MC > A
STA_ABS|8D|1|MEM_AT_PC > MC
STA_ABS|8D|2|A > MEM_AT_MC
